Year,Depth,temp
1994,10-50 dbar,9.2284
1994,100-150 dbar,6.3194
1994,800-1200 dbar,2.9709
1994,2000 dbar - bottom,1.6315
1995,0-10 dbar,9.136
1995,10-50 dbar,8.189
1995,100-150 dbar,5.8419
1995,800-1200 dbar,2.9599
1995,2000 dbar - bottom,1.6496
1996,0-10 dbar,9.2566
1996,10-50 dbar,8.196
1996,100-150 dbar,5.3484
1996,800-1200 dbar,2.9036
1996,2000 dbar - bottom,1.6115
1997,0-10 dbar,9.7321
1997,10-50 dbar,8.6229
1997,100-150 dbar,5.1924
1997,800-1200 dbar,2.8896
1997,2000 dbar - bottom,1.6135
1998,0-10 dbar,8.823
1998,10-50 dbar,8.1133
1998,100-150 dbar,4.7715
1998,800-1200 dbar,2.8583
1998,2000 dbar - bottom,1.6128
1999,0-10 dbar,8.3107
1999,10-50 dbar,7.7016
1999,100-150 dbar,5.2251
1999,800-1200 dbar,2.939
1999,2000 dbar - bottom,1.616
2000,0-10 dbar,8.5813
2000,10-50 dbar,8.0138
2000,100-150 dbar,4.4764
2000,800-1200 dbar,2.8799
2000,2000 dbar - bottom,1.6189
2001,0-10 dbar,7.7769
2001,10-50 dbar,7.3678
2001,100-150 dbar,4.6128
2001,800-1200 dbar,2.8728
2001,2000 dbar - bottom,1.6125
2002,0-10 dbar,9.1065
2002,10-50 dbar,7.8476
2002,100-150 dbar,4.446
2002,800-1200 dbar,2.8857
2002,2000 dbar - bottom,1.6276
2003,0-10 dbar,8.706
2003,10-50 dbar,8.3791
2003,100-150 dbar,4.3358
2003,800-1200 dbar,2.882
2003,2000 dbar - bottom,1.6119
2004,0-10 dbar,8.9802
2004,10-50 dbar,8.2159
2004,100-150 dbar,4.6131
2004,800-1200 dbar,2.8973
2004,2000 dbar - bottom,1.6246
2005,0-10 dbar,10.479
2005,10-50 dbar,9.2389
2005,100-150 dbar,5.5073
2005,800-1200 dbar,2.9754
2005,2000 dbar - bottom,1.625
2006,0-10 dbar,9.015
2006,10-50 dbar,8.6012
2006,100-150 dbar,5.4905
2006,800-1200 dbar,2.9772
2006,2000 dbar - bottom,1.6285
2007,0-10 dbar,8.0841
2007,10-50 dbar,7.5294
2007,100-150 dbar,5.5949
2007,800-1200 dbar,2.9476
2007,2000 dbar - bottom,1.621
2008,0-10 dbar,7.5089
2008,10-50 dbar,6.8161
2008,100-150 dbar,4.4622
2008,800-1200 dbar,2.8807
2008,2000 dbar - bottom,1.6185
2009,0-10 dbar,9.0656
2009,10-50 dbar,8.3214
2009,100-150 dbar,5.1747
2009,800-1200 dbar,2.9412
2009,2000 dbar - bottom,1.6276
2010,0-10 dbar,9.0293
2010,10-50 dbar,7.9225
2010,100-150 dbar,5.2126
2010,800-1200 dbar,2.8965
2010,2000 dbar - bottom,1.6165
2011,0-10 dbar,8.3814
2011,10-50 dbar,7.958
2011,100-150 dbar,4.6558
2011,800-1200 dbar,2.8793
2011,2000 dbar - bottom,1.6075
2012,0-10 dbar,7.9745
2012,10-50 dbar,7.3525
2012,100-150 dbar,4.6459
2012,800-1200 dbar,2.911
2012,2000 dbar - bottom,1.6216
2013,0-10 dbar,9.3631
2013,10-50 dbar,8.2486
2013,100-150 dbar,4.4914
2013,800-1200 dbar,2.8688
2013,2000 dbar - bottom,1.6179
2014,0-10 dbar,10.774
2014,10-50 dbar,9.9855
2014,100-150 dbar,5.1785
2014,800-1200 dbar,2.9535
2014,2000 dbar - bottom,1.6315
2015,0-10 dbar,10.56
2015,10-50 dbar,9.422
2015,100-150 dbar,5.2628
2015,800-1200 dbar,2.9119
2015,2000 dbar - bottom,1.6218
2016,0-10 dbar,10.551
2016,10-50 dbar,9.1985
2016,100-150 dbar,5.585
2016,800-1200 dbar,2.9473
2016,2000 dbar - bottom,1.6309
2017,0-10 dbar,9.145
2017,10-50 dbar,8.0844
2017,100-150 dbar,5.7882
2017,800-1200 dbar,3.0102
2017,2000 dbar - bottom,1.6294
2018,0-10 dbar,9.664
2018,10-50 dbar,8.8953
2018,100-150 dbar,5.0641
2018,800-1200 dbar,2.9648
2018,2000 dbar - bottom,1.6211
2019,0-10 dbar,10.224
2019,10-50 dbar,9.1857
2019,100-150 dbar,4.764
2019,800-1200 dbar,2.9399
2019,2000 dbar - bottom,1.6236
